program,jurisdiction,element,family,scope_version,citation_path,note
tanf,us-ar,tanf-s16,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-201 ('enterprise which is directly supplemented by federal or state funds. Subsidized Public Sector Employment Full or part-ti'), not enough for PRESENT; no body in the selected scope("
tanf,us-ar,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [policy/2026-07-02-ar-tea-official-documents] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
tanf,us-ar,tanf-s22,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-26 ('uded in the TEA payment with the child, if a non-parent relative is a payee only, then the time limit does not apply to '), not enough for PRESENT; no body in the selected scope(s"
tanf,us-ar,tanf-s24,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-51 ('n for cancellation of removal or suspension of deportation filed as a victim of domestic violence. 7. Honorable Discharg'), not enough for PRESENT; no body in the selected scope(s"
tanf,us-ar,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [policy/2026-07-02-ar-tea-official-documents] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
tanf,us-az,tanf-s32,state TANF plan (state-published,,,"state-published TANF plan not in the corpus and not inventoried: the TANF queue's document family is tanf_policy_sources (manuals and adopted rules), and ACF OFA posts no consolidated plan index (acf.gov/ofa/programs/tanf/state-plans is 404, queue federal row); each state's posting must be checked"
tanf,us-ca,tanf-s02,state regulation/manual,,,"single body mention only at us-ca/regulation/2026-09-10-tanf-state-policy-manual us-ca/regulation/mpp/eas/8/42-763 ('arn Program until the end of the month in which the teen parent turns age 19 or until either a high school diploma or it'), not enough for PRESENT; no body in the selected scope(s) [r"
tanf,us-ca,tanf-s10,state regulation/manual,,,"single body mention only at us-ca/regulation/2026-09-10-tanf-state-policy-manual us-ca/regulation/mpp/eas/1/40-007 ('n former AFDC recipients will be eligible to receive funding of their child care expenses under certain conditions up to'), not enough for PRESENT; no body in the selected scope(s) [r"
tanf,us-ca,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matc"
tanf,us-ca,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual, guidance/2026-06-24-ca-cdss-calworks-acl, statute/2026-06-25-ca-wic-calworks-us-ca-sections-wic-11450-wic-11450.12-wic-11451.5-wic-11452-wic-11452.018] matched the evidence patterns with a heading match or 2+ body matc"
tanf,us-co,tanf-s02,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does n"
tanf,us-co,tanf-s10,state regulation/manual,,,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/8-ccr-1403-1/3.111/page-18 ('or teen parent(s) shall submit documentation listing their income and work-related expenses. The county shall obtain ver'), not enough for PRESENT; no body in "
tanf,us-co,tanf-s11,state regulation/manual,,,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-66 ('their resources are less than the Supplemental Security Income (SSI) resource limit which is $2,000 for an individual an'), not enough for PRESENT; no"
tanf,us-co,tanf-s12,state regulation/manual,,,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-33 ('non-citizen’s status. 4. Colorado Department of Revenue, Division of Motor Vehicles (DMV) The Colorado DMV may be used b'), not enough for PRESENT; no"
tanf,us-co,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does n"
tanf,us-co,tanf-s19,state regulation/manual,,,"single body mention only at us-co/regulation/2026-07-13-recovery-r2026-09-11-tanf-consolidated us-co/regulation/recovery/us-co-9-ccr-2503-6/page-69 ('3-6 Income Maintenance (Volume 3) 69 a. Medical services, except for family planning; b. Title IV of the Social Security'), not enough for PRESENT; no"
tanf,us-ct,tanf-s02,state regulation/manual,,,"single body mention only at us-ct/policy/2026-09-14-tanf-manual-whole us-ct/policy/dss/upm/2540.24/block-1 ('s met if the child is: a. under age eighteen (18) years of age; or b. age eighteen (18) and: (1) in full-time attendance'), not enough for PRESENT; no body in the selected scope(s) [policy/20"
tanf,us-ct,tanf-s08,state regulation/manual,,,"single body mention only at us-ct/policy/2026-09-14-tanf-manual-whole us-ct/policy/dss/upm/2540.24/block-1 ('for one person. c. The AFDC 185% gross income test does not apply. 2. Earned Income Deductions Families with earned inco'), not enough for PRESENT; no body in the selected scope(s) [policy/20"
tanf,us-ct,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [policy/2026-09-14-tanf-manual-whole] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
tanf,us-ct,tanf-s22,state regulation/manual,,,"single body mention only at us-ct/policy/2026-09-14-tanf-manual-whole us-ct/policy/dss/upm/8530.10/block-1 ('mporary Family Assistance applicants, recipients, and disqualified or ineligible parents of children who are TFA applica'), not enough for PRESENT; no body in the selected scope(s) [policy/20"
tanf,us-dc,tanf-s02,state regulation/manual,,,"single body mention only at us-dc/manual/2026-09-10-tanf-state-policy-manual us-dc/manual/dhs/tanf/esa-policy-manual/page-259 ('NF FS Do not count the earns income of any household member: • who is under age 18, • who is an elementary or secondary '), not enough for PRESENT; no body in the selected "
tanf,us-dc,tanf-s22,state regulation/manual,,,"single body mention only at us-dc/manual/2026-09-10-tanf-state-policy-manual us-dc/manual/dhs/tanf/esa-policy-manual/page-126 ('ep-parent and the parent are out of the unit and the child receives a child-only grant. In this circumstance, no income '), not enough for PRESENT; no body in the selected "
tanf,us-dc,tanf-s29,state regulation/manual,,,"single body mention only at us-dc/manual/2026-09-10-tanf-state-policy-manual us-dc/manual/dhs/tanf/esa-policy-manual/page-20 ('ams. Benefit Provision 2.4.1 A monthly GC cash grant is provided by EBT to a responsible adult in the household. The amo'), not enough for PRESENT; no body in the selected s"
tanf,us-de,tanf-s02,state regulation/manual,,,"single body mention only at us-de/regulation/2026-07-03-de-tanf-rules us-de/regulation/title-16/4000-financial-responsibility/4005.4 ('determine the financial eligibility of a TANF unit that consists of a dependent child and the child's minor parent (unde'), not enough for PRESENT; no body in the se"
tanf,us-de,tanf-s12,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-03-de-tanf-rules, regulation/2026-09-14-tanf-manual-whole] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or "
tanf,us-de,tanf-s28,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-03-de-tanf-rules, regulation/2026-09-14-tanf-manual-whole] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or "
tanf,us-de,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-03-de-tanf-rules, regulation/2026-09-14-tanf-manual-whole] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or "
tanf,us-fl,tanf-s02,state regulation/manual,,,"single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/4600-glossary/page-5 ('An individual under the age of 22. (For TCA) An unmarried individual under the age of 18, or 19 and a full-time student '), not enough for PR"
tanf,us-fl,tanf-s05,state regulation/manual,,,"single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/2600-calculation-of-benefits/page-1 ('................................................. 1 2610.0104.02 165% Need Standard Eligibility Test (FS) ..............'), no"
tanf,us-fl,tanf-s10,state regulation/manual,,,"single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/2400-budgeting-income/page-28 ('325 Work Related Cost of Care Disregards (TCA) TCA does not allow the child care disregard in budgeting. 2420.0338 Shelt'), not enou"
tanf,us-fl,tanf-s18,state regulation/manual,,,single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/1400-technical-requirements-fs-tca/page-69 ('ng for a child who has not attained age six and the parent proves the inability to obtain child care within a reasonabl
tanf,us-fl,tanf-s19,state regulation/manual,,,"single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/200-general-program-information/page-1 ('Noncitizens (MFAM) ..................................... 6 0230.0106 Family Planning Services (MMFP) ...................'),"
tanf,us-fl,tanf-s21,state regulation/manual,,,"single body mention only at us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained us-fl/manual/dcf/ess-program-policy-manual/1800-income-mfam-mssi/page-9 ('s 4. disaster assistance payments 5. cash Severance payments, upfront diversion payments and state relocation payments 6'), not enoug"
tanf,us-fl,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not"
tanf,us-ga,tanf-s02,state regulation/manual,,,"single body mention only at us-ga/manual/2026-09-14-tanf-manual-whole us-ga/manual/dfcs/tanf/1305/block-2 ('A dependent child must be under age 18, or under age 19 if a full-time student, to be included in the AU.'), not enough for PRESENT; no body in the selected scope(s) [manual/2026-09-14-tanf-ma"
tanf,us-ga,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-09-14-tanf-manual-whole, guidance/2026-06-25-ga-tanf] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state do"
tanf,us-hi,tanf-s11,state regulation/manual,,,"single body mention only at us-hi/regulation/2026-05-27-hi-snap-rules-r2026-07-15-self-contained-r2026-09-13-tanf-consolidated us-hi/regulation/har/17/649/page-8 ('ty value of the recipient’s nonexempt assets exceeds the department’s asset limit; (2) The recipient’s net income equals'), not enough f"
tanf,us-hi,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-05-27-hi-snap-rules-r2026-07-15-self-contained-r2026-09-13-tanf-consolidated] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under othe"
tanf,us-hi,tanf-s20,state regulation/manual,,,"single body mention only at us-hi/regulation/2026-05-27-hi-snap-rules-r2026-07-15-self-contained-r2026-09-13-tanf-consolidated us-hi/regulation/har/17/656-1/17-656.1-2 ('s 17-647-12, 17-656.1-15, 17-656.1- 16, and 17-656.1-17. “Independent minor parent” means the specified relative of a ch'), not en"
tanf,us-hi,tanf-s29,state regulation/manual,,,"single body mention only at us-hi/regulation/2026-05-27-hi-snap-rules-r2026-07-15-self-contained-r2026-09-13-tanf-consolidated us-hi/regulation/har/17/606/page-1 ('ons by which the state income tax refunds of those persons who owe a debt to the department of human services, family an'), not enough f"
tanf,us-ia,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-03-ia-fip-admin-rules] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
tanf,us-ia,tanf-s21,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-03-ia-fip-admin-rules] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it"
tanf,us-id,tanf-s02,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s04,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s05,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s06,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s07,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s08,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s10,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s11,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s12,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s13,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s14,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s16,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s20,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s21,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s22,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s23,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s24,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s25,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s26,state regulation/manual,,,"single body mention only at us-id/regulation/2026-09-10-tanf-state-policy-manual us-id/regulation/idapa/16/03/08/115 ('otified of the overpayment including details on the recovery process, hearing rights, repayment methods, and the need to'), not enough for PRESENT; no body in the selected scope(s) "
tanf,us-id,tanf-s28,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s30,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-09-10-tanf-state-policy-manual] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does not set it; IDA"
tanf,us-id,tanf-s31,state regulation/manual,,,"single body mention only at us-id/regulation/2026-09-10-tanf-state-policy-manual us-id/regulation/idapa/16/03/08/102 ('1. Income Determination. Eligibility and benefit amounts are based on countable income and resources including those of '), not enough for PRESENT; no body in the selected scope(s) "
tanf,us-il,tanf-s02,state regulation/manual,,,"single body mention only at us-il/manual/2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained us-il/manual/dhs/csmm/18162/block-1 ('r Teen Parents PM 21-02-09 Core An education program for teen parents age 19 or younger who have not completed secondary'), not enough for PRESENT; no body"
tanf,us-il,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the "
tanf,us-il,tanf-s21,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the "
tanf,us-il,tanf-s24,state regulation/manual,,,"single body mention only at us-il/manual/2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained us-il/manual/dhs/csmm/12795/block-1 ('-a-1: RSP - Pregnant Women – 07/08/15 MR 15.17 PM 02-09-05-a-2: RSP - Victims of Family Violence – 07/08/15 MR 15.17 PM '), not enough for PRESENT; no body"
tanf,us-in,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-05-27-in-snap-manual-r2026-07-15-self-contained] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does no"
tanf,us-in,tanf-s24,state regulation/manual,,,"single body mention only at us-in/manual/2026-05-27-in-snap-manual-r2026-07-15-self-contained us-in/manual/dfr/snap-tanf-program-policy-manual/page-93 ('dents of public or private nonprofit shelters for the homeless and/or Domestic Violence victims located in Indiana meet '), not enough for PRESENT;"
tanf,us-in,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [manual/2026-05-27-in-snap-manual-r2026-07-15-self-contained] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary or the state does no"
tanf,us-in,tanf-s32,state TANF plan (state-published,,,"state-published TANF plan not in the corpus and not inventoried: the TANF queue's document family is tanf_policy_sources (manuals and adopted rules), and ACF OFA posts no consolidated plan index (acf.gov/ofa/programs/tanf/state-plans is 404, queue federal row); each state's posting must be checked"
tanf,us-ks,tanf-s05,state regulation/manual,,,"single body mention only at us-ks/manual/2026-05-27-ks-keesm-r2026-07-15-self-contained us-ks/manual/dcf/keesm/keesm1411/block-1 ('tandard for the county of placement shall be used in establishing the need standard for persons placed in independent li'), not enough for PRESENT; no body in the select"
tanf,us-ks,tanf-s12,state regulation/manual,,,"single body mention only at us-ks/manual/2026-05-27-ks-keesm-r2026-07-15-self-contained us-ks/manual/dcf/keesm/keesm2170/block-1 ('uded during the strike. This exclusion applies to the extent that the fair market value of the vehicle does not exceed $'), not enough for PRESENT; no body in the select"
