program,jurisdiction,element,family,scope_version,citation_path,note
tax,us-nc,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-nd,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-nj,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-nm,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ny,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-oh,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ok,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-pa,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ri,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-sc,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ut,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-va,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-wi,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-wv,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
