program,jurisdiction,element,family,scope_version,citation_path,note
ssi,us-sc,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-sc/manual/scdhhs/mppm/chapter-403/403.05.03B,"403.05.03B: payment = net income limit (NIL) minus countable income; the NIL dollar figure sits in the MPPM 103 standards, not in chapter 403"
ssi,us-sd,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-sd/regulation/arsd/67/12/14/04,67:12:14:04 pays 'at a rate approved by the department'; no dollar figure in the rule; POMS SI DEN01415.011 (federal scope) describes the program
ssi,us-sd,SSI-ST-5,state regulation/manual,2026-09-10-ssi-state-supplement,us-sd/regulation/arsd/67/12/14/01,no income/resource text found in the chapter beyond definitions
ssi,us-tx,SSI-ST-2,state statute/regulation,,,Tex. Hum. Res. Code 32 not inventoried; HHSC MEPD H-6000 is the operating text
ssi,us-va,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-va/manual/dars/auxiliary-grant/chapter-k/page-13,"chapter K page 13: the AG rate is set by an annual DARS rate broadcast (Fusion), not printed in the manual; chapter J page 6 shows the $82 personal needs allowance"
ssi,us-va,SSI-ST-5,state regulation/manual,2026-09-10-ssi-state-supplement,us-va/manual/dars/auxiliary-grant/chapter-g/page-13,"chapters A-L present at page granularity; the income and resource rule pages were not individually verified (chapter G resource transfers, chapter E resources)"
ssi,us-vt,SSI-ST-2,state statute/regulation,,,33 V.S.A. 1301 et seq. not inventoried
liheap,us-ak,LIHEAP-ST-05,state plan,2026-09-10,us-ak/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-al,LIHEAP-ST-03,state plan,2026-09-10,us-al/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-al,LIHEAP-ST-05,state plan,2026-09-10,us-al/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ar,LIHEAP-ST-03,state plan,2026-09-10,us-ar/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ar,LIHEAP-ST-05,state plan,2026-09-10,us-ar/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-az,LIHEAP-ST-05,state plan,2026-09-10,us-az/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ca,LIHEAP-ST-05,state plan,2026-09-10,us-ca/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ca,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-ca,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-co,LIHEAP-ST-03,state plan,2026-09-10,us-co/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-co,LIHEAP-ST-05,state plan,2026-09-10,us-co/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ct,LIHEAP-ST-05,state plan,2026-09-10,us-ct/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-dc,LIHEAP-ST-03,state plan,2026-09-10,us-dc/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-dc,LIHEAP-ST-05,state plan,2026-09-10,us-dc/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-dc,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-dc,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-de,LIHEAP-ST-03,state plan,2026-09-10,us-de/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-de,LIHEAP-ST-05,state plan,2026-09-10,us-de/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-fl,LIHEAP-ST-05,state plan,2026-09-10,us-fl/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ga,LIHEAP-ST-05,state plan,2026-09-10,us-ga/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-hi,LIHEAP-ST-05,state plan,2026-09-10,us-hi/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ia,LIHEAP-ST-03,state plan,2026-09-10,us-ia/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ia,LIHEAP-ST-05,state plan,2026-09-10,us-ia/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-id,LIHEAP-ST-05,state plan,2026-09-10,us-id/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-id,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-id,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-il,LIHEAP-ST-05,state plan,2026-09-10,us-il/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-il,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-il,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-in,LIHEAP-ST-03,state plan,2026-09-10,us-in/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-in,LIHEAP-ST-05,state plan,2026-09-10,us-in/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ks,LIHEAP-ST-05,state plan,2026-09-10,us-ks/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ky,LIHEAP-ST-03,state plan,2026-09-10,us-ky/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ky,LIHEAP-ST-05,state plan,2026-09-10,us-ky/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-la,LIHEAP-ST-03,state plan,2026-09-10,us-la/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-la,LIHEAP-ST-05,state plan,2026-09-10,us-la/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ma,LIHEAP-ST-05,state plan,2026-09-10,us-ma/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ma,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-ma,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-md,LIHEAP-ST-05,state plan,2026-09-10,us-md/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-me,LIHEAP-ST-05,state plan,2026-09-10,us-me/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-mi,LIHEAP-ST-05,state plan,2026-09-10,us-mi/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-mn,LIHEAP-ST-03,state plan,2026-09-10,us-mn/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-mn,LIHEAP-ST-05,state plan,2026-09-10,us-mn/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-mo,LIHEAP-ST-03,state plan,2026-09-10,us-mo/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-mo,LIHEAP-ST-05,state plan,2026-09-10,us-mo/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ms,LIHEAP-ST-03,state plan,2026-09-10,us-ms/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ms,LIHEAP-ST-05,state plan,2026-09-10,us-ms/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-mt,LIHEAP-ST-05,state plan,2026-09-10,us-mt/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nc,LIHEAP-ST-03,state plan,2026-09-10,us-nc/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-nc,LIHEAP-ST-05,state plan,2026-09-10,us-nc/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nc,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-nc,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-nd,LIHEAP-ST-03,state plan,2026-09-10,us-nd/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-nd,LIHEAP-ST-05,state plan,2026-09-10,us-nd/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ne,LIHEAP-ST-03,state plan,2026-09-10,us-ne/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ne,LIHEAP-ST-05,state plan,2026-09-10,us-ne/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nh,LIHEAP-ST-03,state plan,2026-09-10,us-nh/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-nh,LIHEAP-ST-05,state plan,2026-09-10,us-nh/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nj,LIHEAP-ST-05,state plan,2026-09-10,us-nj/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nm,LIHEAP-ST-03,state plan,2026-09-10,us-nm/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-nm,LIHEAP-ST-05,state plan,2026-09-10,us-nm/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-nm,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-nm,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-nv,LIHEAP-ST-03,state plan,2026-09-10,us-nv/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-nv,LIHEAP-ST-05,state plan,2026-09-10,us-nv/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ny,LIHEAP-ST-05,state plan,2026-09-10,us-ny/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-oh,LIHEAP-ST-03,state plan,2026-09-10,us-oh/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-oh,LIHEAP-ST-05,state plan,2026-09-10,us-oh/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ok,LIHEAP-ST-03,state plan,2026-09-10,us-ok/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ok,LIHEAP-ST-05,state plan,2026-09-10,us-ok/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ok,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-ok,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-or,LIHEAP-ST-03,state plan,2026-09-10,us-or/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-or,LIHEAP-ST-05,state plan,2026-09-10,us-or/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-pa,LIHEAP-ST-03,state plan,2026-09-10,us-pa/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-pa,LIHEAP-ST-05,state plan,2026-09-10,us-pa/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ri,LIHEAP-ST-03,state plan,2026-09-10,us-ri/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ri,LIHEAP-ST-05,state plan,2026-09-10,us-ri/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-ri,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-ri,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-sc,LIHEAP-ST-03,state plan,2026-09-10,us-sc/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-sc,LIHEAP-ST-05,state plan,2026-09-10,us-sc/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-sc,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-sc,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-sd,LIHEAP-ST-05,state plan,2026-09-10,us-sd/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-tn,LIHEAP-ST-03,state plan,2026-09-10,us-tn/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-tn,LIHEAP-ST-05,state plan,2026-09-10,us-tn/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-tx,LIHEAP-ST-05,state plan,2026-09-10,us-tx/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-tx,LIHEAP-ST-09,plan attachment / policy manual,,,matrix is a plan attachment not in the extracted PDF; the clearinghouse index lists no policy manual for this state; state agency site not inventoried
liheap,us-tx,LIHEAP-ST-18,state policy manual,,,clearinghouse index lists no policy manual for this state; state agency site not inventoried in the queue
liheap,us-ut,LIHEAP-ST-03,state plan,2026-09-10,us-ut/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-ut,LIHEAP-ST-05,state plan,2026-09-10,us-ut/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-va,LIHEAP-ST-03,state plan,2026-09-10,us-va/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-va,LIHEAP-ST-05,state plan,2026-09-10,us-va/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-vt,LIHEAP-ST-03,state plan,2026-09-10,us-vt/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
liheap,us-vt,LIHEAP-ST-05,state plan,2026-09-10,us-vt/policy/acf/liheap-plan/fy2026/1,1.8 (gross/net) and 1.9 (income types) are check boxes; checkbox state is not captured in the extracted text; narrative in 1.10-1.12 present
liheap,us-wa,LIHEAP-ST-03,state plan,2026-09-10,us-wa/policy/acf/liheap-plan/fy2026/1,"1.4-1.6 are yes/no boxes; the extractor keeps no checkbox state and 1.4a carries no description, so the policy cannot be read from the body"
