program,jurisdiction,element,level,family,note
tanf,us-az,tanf-s24,federal_with_state_option,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s25,federal_with_state_option,state regulation/manual,"single body mention only at us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained us-az/manual/des/faa5/ca-payment-standard-a1-2fa2 ('but fails to provide verification of the cost. (See Verification for verification requirements.) ● The budgetary unit is'), not enough for PRESENT; AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the ma"
tanf,us-az,tanf-s26,state,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s29,federal_with_state_option,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
ccdf,us,ccdf-f-usc-1,federal,federal statute,42 U.S.C. 9857-9857a CCDBG Act short title and goals (sec. 658A): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
ccdf,us,ccdf-f-usc-2,federal,federal statute,42 U.S.C. 9858 Authorization of appropriations (sec. 658B): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
ccdf,us,ccdf-f-usc-3,federal,federal statute,42 U.S.C. 9858a Lead agency designation (sec. 658D): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
ccdf,us,ccdf-f-usc-4,federal,federal statute,"42 U.S.C. 9858c Application and plan (sec. 658E): plan contents incl. eligibility (658E(c)(2)), sliding fee scale, payment rates, health and safety, 12-month eligibility, priority, consumer education: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
ccdf,us,ccdf-f-usc-5,federal,federal statute,"42 U.S.C. 9858d-9858m Sections 658F-658O: limitations on State allotments, activities to improve quality (658G), background checks (658H), administration and enforcement (658I), payments, annual report and audits, Secretary's report, hotline, allotments (658O): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
ccdf,us,ccdf-f-usc-6,federal,federal statute,"42 U.S.C. 9858n Definitions (sec. 658P): child care certificate, eligible child, family child care provider, State median income, etc.: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
ccdf,us,ccdf-f-usc-7,federal,federal statute,"42 U.S.C. 9858o-9858r Sections 658Q-658T: severability, parental rights and responsibilities, miscellaneous, limitation: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
ccdf,us-co,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"2024 Market Rate Survey and Narrow Cost Analysis listed, not taken (run-note inventory)"
ccdf,us-ct,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"2024 MRS and narrow cost analysis listed, not taken (run-note inventory)"
ccdf,us-id,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"IDAPA 16.06.12 Idaho Child Care Program rules on the OARC current-rules index (371 chapters), not taken"
ccdf,us-in,ccdf-s01,federal_with_state_option,CCDF state plan 1.1-1.2,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s02,federal_with_state_option,CCDF state plan 2.2.1,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s03,federal_with_state_option,CCDF state plan 2.2.2,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s04,federal_with_state_option,CCDF state plan 2.2.3-2.2.4,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s05,federal_with_state_option,CCDF state plan 2.5.5,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s06,federal_with_state_option,CCDF state plan 2.2.6,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s07,federal_with_state_option,CCDF state plan 2.2.5,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s08,federal_with_state_option,CCDF state plan 2.2.7,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s09,federal_with_state_option,CCDF state plan 2.2 / 2.3,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s10,federal_with_state_option,CCDF state plan 2.3.1-2.3.3,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s11,federal_with_state_option,CCDF state plan 2.5.2,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s12,federal_with_state_option,CCDF state plan 2.5.3,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s13,federal_with_state_option,CCDF state plan 2.5.4,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s14,federal_with_state_option,CCDF state plan 2.1 / 2.5,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s15,federal_with_state_option,CCDF state plan 3.1.1-3.1.2 (fee table),"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s16,federal_with_state_option,CCDF state plan 3.2.1,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s17,federal_with_state_option,CCDF state plan 3.3.1,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s18,federal_with_state_option,CCDF state plan 4.1.1,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s19,federal_with_state_option,CCDF state plan 4.2,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s20,federal_with_state_option,CCDF state plan 4.3.1-4.3.2 (rate tables as of plan date),"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s21,federal_with_state_option,CCDF state plan 4.3.3,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s22,federal_with_state_option,CCDF state plan 4.4.1-4.4.3,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s23,federal_with_state_option,CCDF state plan section 5,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s24,federal_with_state_option,CCDF state plan 2.2.9,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s25,federal_with_state_option,CCDF state plan 10.1-10.2,"carried by the certified plan the publisher posts; publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s26,federal_with_state_option,CCDF state plan (Lead Agency publication reached via the ACF index),"publisher posts the certified 2024-06-30 submission (399 pages, non-CARS layout with attached state rules; the CARS section pattern matched 5 labels so it was not extracted); an adapter/pattern change would take it"
ccdf,us-in,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"IN FSSA CCDF Policy Manual (in.gov/fssa/carefinder/files/CCDF-Policy-Manual.pdf, HTTP 200, 4.4 MB) and Provider Manual answer but were not extracted (queue row 2026-09-10-ccdf-in-policy-manual, needs_review)"
ccdf,us-ky,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"KY Operation Manual Vol. VIII Child Care Assistance Program (CCAP) listed on the DFS volume index, not taken (TANF queue row)"
ccdf,us-ky,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"market rate surveys 2017/2020/2023 listed, not taken (run-note inventory)"
ccdf,us-la,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"MRS reports 2017/2020/2023 listed, not taken (run-note inventory)"
ccdf,us-me,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"CCAP rules (10-148 CMR ch. 6), income guidelines and memos (18 documents) listed on the OCFS page, not taken"
ccdf,us-mn,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"market rate survey reports listed, not taken (run-note inventory)"
ccdf,us-ms,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"market rate surveys 2021/2024 and Narrow Cost Analysis 2024 listed, not taken (run-note inventory)"
ccdf,us-ne,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"Title 392 Child Care Subsidy on rules.nebraska.gov (45 DHHS titles), not taken"
ccdf,us-nj,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"market rate survey reports (2017-18, 2021-22) listed, not taken (run-note inventory)"
ccdf,us-nm,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"8.150 NMAC child care parts (17) listed on the HCA ISD SRCA index, not taken (TANF queue row)"
ccdf,us-oh,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"OAC 5101:2-16 publicly funded child care on codes.ohio.gov, not taken (only 5101:1 and 5101:4 taken)"
ccdf,us-ok,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"OAC 340:40 child care subsidy on rules.ok.gov, not taken"
ccdf,us-or,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"ERDC rules moved to OAR chapter 414 (Department of Early Learning and Care) on the same OARD publisher; the selected chapter 461 scope carries no ERDC-specific rule, not taken"
ccdf,us-or,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"2024 narrow cost analysis and alternate rate-setting report listed, not taken (run-note inventory)"
ccdf,us-pa,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"2025 Child Care Market Rate Survey report and summary listed, not taken (run-note inventory)"
ccdf,us-ri,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"218-RICR-20-00-4 Child Care Assistance Program rules (and Part 13) listed on the RICR chapter page, not taken (TANF queue row)"
ccdf,us-ri,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"child care market rate survey 2024 listed, not taken (run-note inventory)"
ccdf,us-sc,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"SC Voucher manual (DSS manuals page) and Child Care Scholarship policy manuals vol. 36-39 (scchildcare.org) listed, not taken"
ccdf,us-sd,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"ARSD 67:47 child care assistance on sdlegislature.gov/Rules, not taken"
ccdf,us-tn,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),"child care policies listed on the TDHS publications page, not taken (TANF queue row)"
ccdf,us-ut,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"market rate studies 2021, 2024 listed, not taken (run-note inventory)"
ccdf,us-va,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"2020 market rate survey and alternative rate methodology report listed, not taken (run-note inventory)"
ccdf,us-vt,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),Vermont CCFAP rules (CDD) are separate from the ESD rules taken; the DCF CDD page was inventoried for the plan only
ccdf,us-vt,ccdf-s30,federal_with_state_option,state rate schedules / MRS sheets / transmittals (state-published),"Child Care Market Rate Survey 2024 listed, not taken (run-note inventory)"
ccdf,us-wi,ccdf-s29,federal_with_state_option,state regulation/manual for the subsidy program (CCAP/CCS/ERDC/Wisconsin Shares etc.),Wisconsin Shares Child Care Subsidy Policy Manual is a separate DCF manual (the W-2 manual only references Wisconsin Shares participation); not inventoried by the queue
