program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
tax,us,F157,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2026/f1040es,"new: Form 1040-ES (2026) PDF, 16 pages with the 2026 rate schedules"
tax,us,F158,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2026/fw4,new: Form W-4 (2026) PDF
tax,us,F160,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/p501,new: Publication 501 (2025) HTML edition
tax,us,F161,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/p596,new: Publication 596 (2025) HTML edition
tax,us,F162,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/p970,new: Publication 970 (2025) HTML edition
tax,us,F163,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f1040sr,new: Form 1040-SR (2025) PDF (IRS product id f1040s; f1040sr.pdf is Schedule R)
tax,us-al,S02,EXTRACTABLE,REVIEW,us-al/statute/2026-09-14-income-tax-chapter-r2-us-al-title-40,,Code of Alabama 40-18-1.1 defines the IRC as amended from time to time; not located by pattern; chapter held in the selected scope
tax,us-al,S12,EXTRACTABLE,ALREADY-HELD,us-al/statute/2026-09-14-income-tax-chapter-r2-us-al-title-40,us-al/statute/40-18-19,40-18-19 exemptions (age-65 condition on the retirement exemption; Alabama has no separate age/blind deduction)
tax,us-al,S15,EXTRACTABLE,REVIEW,us-al/statute/2026-09-14-income-tax-chapter-r2-us-al-title-40,,40-18-19(a) exempts Social Security benefits; not located by pattern; chapter held in the selected scope
tax,us-al,S35,EXTRACTABLE,EXTRACTABLE,us-al/statute/2026-09-14-income-tax-chapter-r2-us-al-title-40,,"municipal occupational license taxes are authorized in Code of Alabama Title 11 (11-51-90 et seq.), outside Title 40; carrier: ALISON adapter only_title 11"
tax,us-ar,S02,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S03,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S04,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S05,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S07,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S08,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S09,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S10,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S11,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S12,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S13,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S14,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S15,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S16,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S17,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S18,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S23,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S24,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S25,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S27,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S30,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S31,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S32,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S33,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-ar,S34,EXTRACTABLE,OUTREACH,,,Arkansas Code published only through LexisNexis behind a robot check (probed once 2026-09-13; not retried per brief); Act 2 of 2026 scope stays
tax,us-az,S12,EXTRACTABLE,ALREADY-HELD,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,us-az/statute/43-1023,"43-1023 exemptions for blind persons and persons 65 or older ($1,500)"
tax,us-az,S16,EXTRACTABLE,REVIEW,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,,"ARS 43-1022 subtractions (pension of U.S. government/Arizona retirees $2,500); not located by pattern; chapter held in the selected scope"
tax,us-az,S18,EXTRACTABLE,ALREADY-HELD,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,us-az/statute/43-1022,43-1022 subtraction of a percentage of net long-term capital gain
tax,us-az,S21,EXTRACTABLE,REVIEW,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,,Arizona has no child tax credit; 43-1073.01 dependent tax credit ($100/$25); candidate N/A or dependent credit reading; chapter held in the selected scope
tax,us-az,S22,EXTRACTABLE,REVIEW,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,,see S21; chapter held in the selected scope
tax,us-az,S25,EXTRACTABLE,REVIEW,us-az/statute/2026-09-14-income-tax-chapter-us-az-title-43,,"43-1072.01 (family income tax credit, low income) in the chapter; not located by pattern; chapter held in the selected scope"
tax,us-ca,S13,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/17143,RTC 17143 other-state bond interest addition
tax,us-ca,S14,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/17133,RTC 17133 exempt income (federal obligations)
tax,us-ca,S23,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/17052.6,RTC 17052.6 household and dependent care credit
tax,us-ca,S26,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/17053.5,RTC 17053.5 renter credit
tax,us-ca,S31,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/18663,"RTC 18663 wage withholding tables (withholding statute itself is UIC 13020, not in the RTC scope)"
tax,us-ca,S32,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/19136,RTC 19136 underpayment of estimated tax
tax,us-ca,S34,EXTRACTABLE,ALREADY-HELD,us-ca/statute/2026-09-14-income-tax-chapter-us-ca-sections-4e26e6efabc3f0c7,us-ca/statute/rtc/18566,RTC 18566 return due date; 18533 innocent spouse relief
tax,us-co,S12,EXTRACTABLE,REVIEW,us-co/statute/2026-07-19-rulespec-us-co-title-39-consolidated,,Colorado has no age-65 income-tax deduction (pension subtraction 39-22-104(4)(f) is age-tiered); not located by pattern; chapter held in the selected scope
tax,us-co,S17,EXTRACTABLE,ALREADY-HELD,us-co/statute/2026-07-19-rulespec-us-co-title-39-consolidated,us-co/statute/39/39-22-104,39-22-104(4)(u) military retirement subtraction
tax,us-co,S26,EXTRACTABLE,ALREADY-HELD,us-co/statute/2026-07-19-rulespec-us-co-title-39-consolidated,us-co/statute/39/39-31-101,39-31-101 property tax/rent/heat rebate (PTC)
tax,us-co,S35,EXTRACTABLE,REVIEW,us-co/statute/2026-07-19-rulespec-us-co-title-39-consolidated,,Colorado has no state-authorized local income tax (Denver OPT is a home-rule ordinance); candidate N/A; chapter held in the selected scope
tax,us-ct,S10,EXTRACTABLE,ALREADY-HELD,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,us-ct/statute/12-702,12-702 personal exemption
tax,us-ct,S11,EXTRACTABLE,REVIEW,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,,Connecticut has no dependent exemption; candidate N/A; chapter held in the selected scope
tax,us-ct,S12,EXTRACTABLE,REVIEW,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,,Connecticut has no age-65 exemption; candidate N/A; chapter held in the selected scope
tax,us-ct,S14,EXTRACTABLE,ALREADY-HELD,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,us-ct/statute/12-701,12-701(a)(20) modifications (U.S. obligation interest subtraction)
tax,us-ct,S26,EXTRACTABLE,ALREADY-HELD,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,us-ct/statute/12-704c,12-704c property tax credit
tax,us-ct,S27,EXTRACTABLE,REVIEW,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,,"12-704e EITC, 12-704c property tax credit in the chapter; other personal credits not located by pattern; chapter held in the selected scope"
tax,us-ct,S28,EXTRACTABLE,ALREADY-HELD,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,us-ct/statute/12-700a,12-700a alternative minimum tax
tax,us-ct,S33,EXTRACTABLE,ALREADY-HELD,us-ct/statute/2026-09-14-income-tax-chapter-title-12-chapter-229,us-ct/statute/12-727,12-727 returns required
tax,us-dc,S14,EXTRACTABLE,ALREADY-HELD,us-dc/statute/2026-07-16-pit-east-title-47,us-dc/statute/47/47-1803.02,47-1803.02 U.S. obligation interest exclusion
tax,us-dc,S17,EXTRACTABLE,ALREADY-HELD,us-dc/statute/2026-07-16-pit-east-title-47,us-dc/statute/47/47-1803.02,47-1803.02(a)(2)(N) military retired pay exclusion
tax,us-dc,S24,EXTRACTABLE,REVIEW,us-dc/statute/2026-07-16-pit-east-title-47,,the District allows no credit for taxes paid to other states (47-1806.04); candidate N/A; chapter held in the selected scope
tax,us-dc,S30,EXTRACTABLE,REVIEW,us-dc/statute/2026-07-16-pit-east-title-47,,47-1806.01 et seq. (residency) and 47-1810.01 (apportionment) in the title-47 scope; not located by pattern; chapter held in the selected scope
tax,us-de,S02,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1101,30 Del. C. 1101 definitions (Internal Revenue Code conformity)
tax,us-de,S11,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1110,30 Del. C. 1110 personal credits ($110 per exemption)
tax,us-de,S12,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1108,30 Del. C. 1108 additional standard deduction (age 65 / blind)
tax,us-de,S13,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1106,30 Del. C. 1106(a)(1) other-state bond interest addition
tax,us-de,S15,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1106,30 Del. C. 1106(b)(1) Social Security exclusion
tax,us-de,S16,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1106,30 Del. C. 1106(b)(3) pension exclusion
tax,us-de,S17,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1106,30 Del. C. 1106(b)(3) military pension exclusion
tax,us-de,S23,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1114,30 Del. C. 1114 child care credit (50% of federal)
tax,us-de,S27,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1117,30 Del. C. 1117 EITC and neighbouring personal credits
tax,us-de,S33,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1161,30 Del. C. 1161 persons required to make returns
tax,us-de,S34,EXTRACTABLE,ALREADY-HELD,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,us-de/statute/30/1168,30 Del. C. 1168 time and place for filing returns
tax,us-de,S35,EXTRACTABLE,EXTRACTABLE,us-de/statute/2026-09-14-income-tax-chapter-r2-us-de-title-30-chapter-11,,"Wilmington earned income tax is authorized by 22 Del. C. 901 et seq. (city charter), outside Title 30; carrier: delaware-code adapter only_title 22"
tax,us-ga,S10,EXTRACTABLE,ALREADY-HELD,us-ga/statute/2026-07-21-ga-ocga-title-48-release86-us-ga-title-48,us-ga/statute/48/48-7-26,48-7-26 personal exemption (with HB 463 session-law overlay in us-ga/statute/session-laws/2026/hb463)
tax,us-ga,S17,EXTRACTABLE,ALREADY-HELD,us-ga/statute/2026-07-21-ga-ocga-title-48-release86-us-ga-title-48,us-ga/statute/48/48-7-27,48-7-27(a) military retirement exclusion
tax,us-ga,S21,EXTRACTABLE,REVIEW,us-ga/statute/2026-07-21-ga-ocga-title-48-release86-us-ga-title-48,,"Georgia has no child tax credit (dependent exemption only, 48-7-26); candidate N/A; chapter held in the selected scope"
tax,us-ga,S22,EXTRACTABLE,REVIEW,us-ga/statute/2026-07-21-ga-ocga-title-48-release86-us-ga-title-48,,see S21; chapter held in the selected scope
tax,us-ga,S25,EXTRACTABLE,REVIEW,us-ga/statute/2026-07-21-ga-ocga-title-48-release86-us-ga-title-48,,48-7-29.15? low-income credit repealed; candidate N/A; chapter held in the selected scope
tax,us-hi,S14,EXTRACTABLE,ALREADY-HELD,us-hi/statute/2026-07-16-pit-east-us-hi-volume-04-chapter-235,us-hi/statute/235-7,HRS 235-7 exclusions (U.S. obligation interest)
tax,us-hi,S23,EXTRACTABLE,ALREADY-HELD,us-hi/statute/2026-07-13-recovery,us-hi/statute/235-55.6,HRS 235-55.6 household and dependent care credit (held in the selected scope 2026-07-13-recovery)
tax,us-hi,S26,EXTRACTABLE,ALREADY-HELD,us-hi/statute/2026-07-13-recovery,us-hi/statute/235-55.7,HRS 235-55.7 credit for low-income household renters (held in the selected scope 2026-07-13-recovery)
tax,us-hi,S27,EXTRACTABLE,ALREADY-HELD,us-hi/statute/2026-07-16-pit-east-us-hi-volume-04-chapter-235,us-hi/statute/235-110.25,HRS 235-110.25 and neighbouring personal credits
tax,us-ia,S08,EXTRACTABLE,ALREADY-HELD,us-ia/statute/2026-07-16-pit-east-us-ia-title-x-chapter-422-r2026-07-24-immutable,us-ia/statute/422.9,Iowa Code 422.9 deductions from net income (standard deduction)
tax,us-ia,S09,EXTRACTABLE,ALREADY-HELD,us-ia/statute/2026-07-16-pit-east-us-ia-title-x-chapter-422-r2026-07-24-immutable,us-ia/statute/422.9,Iowa Code 422.9 itemized deductions
tax,us-ia,S11,EXTRACTABLE,ALREADY-HELD,us-ia/statute/2026-07-13-recovery,us-ia/statute/422.12,Iowa Code 422.12 personal and dependent credits (held in the selected scope 2026-07-13-recovery)
tax,us-ia,S26,EXTRACTABLE,EXTRACTABLE,us-ia/statute/2026-07-16-pit-east-us-ia-title-x-chapter-422-r2026-07-24-immutable,,"Iowa property tax credit / rent reimbursement is Iowa Code chapter 425 (425.16 et seq.), outside chapter 422; carrier: iowa-code adapter only_title 425"
tax,us-ia,S35,EXTRACTABLE,EXTRACTABLE,us-ia/statute/2026-07-16-pit-east-us-ia-title-x-chapter-422-r2026-07-24-immutable,,"school district income surtax is Iowa Code 257.21 and county surtax chapter 422D, outside chapter 422; carrier: iowa-code adapter"
tax,us-id,S10,EXTRACTABLE,REVIEW,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,,Idaho has no personal exemption (63-3022?); candidate N/A; chapter held in the selected scope
tax,us-id,S11,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3029L,63-3029L Idaho child tax credit ($205)
tax,us-id,S13,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3022,63-3022 additions (other-state bond interest)
tax,us-id,S21,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3029L,63-3029L child tax credit
tax,us-id,S22,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3029L,"63-3029L (nonrefundable, no phase-out)"
tax,us-id,S31,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3035,63-3035 withholding
tax,us-id,S33,EXTRACTABLE,ALREADY-HELD,us-id/statute/2026-09-14-income-tax-chapter-us-id-title-63-chapter-30,us-id/statute/63-3030,63-3030 persons required to make returns
tax,us-il,S07,EXTRACTABLE,ALREADY-HELD,us-il/statute/2026-07-24-il-individual-income-tax-resident-core,us-il/statute/35/5/204-current,35 ILCS 5/204(d-5) cost-of-living adjustment of the exemption
tax,us-il,S11,EXTRACTABLE,ALREADY-HELD,us-il/statute/2026-07-24-il-individual-income-tax-resident-core,us-il/statute/35/5/204-current,35 ILCS 5/204 standard exemption per dependent
tax,us-il,S13,EXTRACTABLE,ALREADY-HELD,us-il/statute/2026-07-24-il-individual-income-tax-resident-core,us-il/statute/35/5/203-current,35 ILCS 5/203(a)(2)(A) other-state obligation interest addition
tax,us-il,S14,EXTRACTABLE,ALREADY-HELD,us-il/statute/2026-07-24-il-individual-income-tax-resident-core,us-il/statute/35/5/203-current,35 ILCS 5/203(a)(2)(N) U.S. obligation interest subtraction
tax,us-il,S17,EXTRACTABLE,ALREADY-HELD,us-il/statute/2026-07-24-il-individual-income-tax-resident-core,us-il/statute/35/5/203-current,35 ILCS 5/203(a)(2)(E) military pay subtraction
