jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,tanf-f-usc-601,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 601 Purpose of Title IV-A; no individual entitlement: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-602,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 602 Eligible States; State plan contents (602(a)(1)-(7)), certifications, public comment, 3-year renewal: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.31,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.31 (How many hours must a work-eligible individual participate for the family to count in the numerator of the overall rate?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.32,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.32 (How many hours must work-eligible individuals participate for the family to count in the numerator of the two-parent rate?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.33,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.33 (What are the special requirements concerning educational activities in determining monthly participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.34,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.34 (Are there any limitations in counting job search and job readiness assistance toward the participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.35,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.35 (Are there any special work provisions for single custodial parents?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.36,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.36 (Do welfare reform waivers affect the calculation of a State's participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.40,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.40 (Is there a way for a State to reduce the work participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.41,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.41 (How will we determine the caseload reduction credit?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.42,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.42 (Which reductions count in determining the caseload reduction credit?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.43,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.43 (What is the definition of a “case receiving assistance” in calculating the caseload reduction credit?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.44,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.44 (When must a State report the required data on the caseload reduction credit?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.50,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.50 (What happens if a State fails to meet the participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.51,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.51 (Under what circumstances will we reduce the amount of the penalty below the maximum?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.52,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.52 (Is there a way to waive the State's penalty for failing to achieve either of the participation rates?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.53,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.53 (May a State correct the problem before incurring a penalty?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.54,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.54 (Is a State subject to any other penalty relating to its work program?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.55,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.55 (Under what circumstances will we reduce the amount of the penalty for not properly imposing penalties on individuals?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.56,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.56 (What happens if a parent cannot obtain needed child care?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.57,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.57 (What happens if a State sanctions a single parent of a child under six who cannot get needed child care?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.60,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.60 (What hours of participation may a State report for a work-eligible individual?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.61,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.61 (How must a State document a work-eligible individual's hours of participation?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.62,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.62 (What must a State do to verify the accuracy of its work participation information?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.63,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.63 (When is a State's Work Verification Plan due?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.64,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.64 (How will we determine whether a State's work verification procedures ensure an accurate work participation measurement?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.65,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.65 (Under what circumstances will we impose a work verification penalty?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.70,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.70 (What safeguards are there to ensure that participants in work activities do not displace other workers?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.80,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.80 (How do existing welfare reform waivers affect a State's penalty liability under this part?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.0,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.0 (What definitions apply to this part?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.1,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.1 (What penalties apply to States?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.2,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.2 (When do the TANF penalty provisions apply?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.3,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.3 (How will we determine if a State is subject to a penalty?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.4,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.4 (What happens if we determine that a State is subject to a penalty?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.5,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.5 (Under what general circumstances will we determine that a State has reasonable cause?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.6,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.6 (What happens if a State does not demonstrate reasonable cause?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-262.7,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 262.7 (How can a State appeal our decision to take a penalty?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-263.0,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 263.0 (What definitions apply to this part?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-263.1,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 263.1 (How much State money must a State expend annually to meet the basic MOE requirement?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
