jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us-mi,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-mn,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-mo,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ms,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-mt,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nc,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nd,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ne,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nh,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nj,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nm,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-nv,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ny,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-oh,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ok,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-or,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-pa,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ri,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-sc,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-sd,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-tn,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-tx,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ut,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-va,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-vt,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-wa,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-wi,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-wv,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-wy,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us,M-ST-1396a-a17,state,federal statute (uscode.house.gov),EXTRACTABLE,,,no,"42 U.S.C. 1396a(a)(17), 1396a(r)(2) not held (the Medicaid statute scope holds only 1396a(a)(10), (e), (f), (l), (m); 1396b(f), (v); 1396d(a), (n), (p), (q); 1396p(f); 1396u-1; the PL 119-21 scope holds 1396a(xx)); publisher index https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter7/subchapter19&edition=prelim"
us-ak,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-ak/manual/dpa/adltc/562-processing-hcb-waiver-cases-562-processing-hcb-waiver/block-1,no,strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'on 425 and Administrative Procedures Manual Section 115-9 . More liberal income requirements usually apply to disability-related Medicaid eligibility'
us-al,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,"publisher block recorded in the medicaid queue row (blocked_primary_source); searched 4 provisions in Alabama's program and pointer scopes: Blocked 2026-09-10: Probed 2026-09-10 (plain request plus curl-cffi chrome120 browser impersonation, 20 s timeouts): medicaid.alabama.gov does not answer TCP from this network (requests ConnectTimeout"
us-ar,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 561 provisions in Arkansas's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_program_manual_pdf (11 of 11 not taken); index https://humanservices.arkansas.gov/divisions-shared-services/county-operations/division-policies/"
us-az,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 3969 provisions in Arizona's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: toc_repeat_of_listed_topic (1632 of 1632 not taken); index https://epm.azahcccs.gov/EligibilityPolicyManual/index.html"
us-ca,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,publisher block recorded in the medicaid queue row (blocked_primary_source); searched 0 provisions in California's program and pointer scopes: Blocked 2026-09-10: the DHCS Medi-Cal Eligibility Procedures Manual (MEPM) index returns HTTP 403 with an Imperva/Incapsula 'Request unsuccessful' interstitial (incident id 648000110623365723-46441041
us-co,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 310 provisions in Colorado's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_volume_8_rule (20 of 20 not taken); index https://www.sos.state.co.us/CCR/NumericalCCRDocList.do?deptID=7&deptName=2505,1305%20Department%20of%20Health%20Care%20Policy%20and%20Financing&agencyID=69&agencyName=2505%20Medical%20Services%20Board%20(Volume%208;%20Medical%20Assistance,%20Children's%20Health%20Plan)"
us-ct,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 1635 provisions in Connecticut's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: policy_transmittal_doc (266 of 266 not taken); index https://portal.ct.gov/dss/lists/uniform-policy-manual"
us-dc,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 23 provisions in District of Columbia's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: reserved_or_repealed_section (1 of 1 not taken); index https://dcregs.dc.gov/Common/DCMR/ChapterList.aspx?TitleNum=29"
us-de,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 146 provisions in Delaware's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_dssm_medicaid_chapter (6 of 6 not taken); index https://regulations.delaware.gov/AdminCode/title16"
us-fl,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 1059 provisions in Florida's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov"
us-ga,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 1964 provisions in Georgia's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: toc_page_html (6 of 6 not taken); pdf_export (1 of 1 not taken); mt_cover_letter_pdf (169 of 169 not taken); section_already_in_us_ga_ssp_manual_scope (1 of 1 not taken); index https://pamms.dhs.ga.gov/dfcs/medicaid/"
us-hi,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 786 provisions in Hawaii's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: in_chip_scope (2 of 2 not taken); repealed_chapter (27 of 27 not taken); dead_index_link (2 of 2 not taken); index https://humanservices.hawaii.gov/admin-rules-2/admin-rules-for-programs/"
us-ia,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 1278 provisions in Iowa's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: title_8_omnibus_pdf (1 of 1 not taken); other_title_chapter_or_appendix_pdf (71 of 71 not taken); other_title_omnibus_pdf (2 of 2 not taken); index https://hhs.iowa.gov/about/policy-manuals/income-maintenance"
us-id,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 357 provisions in Idaho's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: medicaid_eligibility_rule_pdf (2 of 2 not taken); other_title_16_rule_pdf (19 of 19 not taken); index https://adminrules.idaho.gov/current-rules/"
us-il,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 7700 provisions in Illinois's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov"
us-in,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 648 provisions in Indiana's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: combined_manual_pdf (1 of 1 not taken); transmittal_pdf (12 of 12 not taken); index https://www.in.gov/fssa/ompp/forms-documents-and-tools/medicaid-eligibility-policy-manual/"
us-ks,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 632 provisions in Kansas's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: mkeesm_prior_edition_link (47 of 47 not taken); index https://www.kancare.ks.gov/data-policy/policy/eligibility/manuals"
us-ky,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 502 provisions in Kentucky's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_program_volume_pdf (10 of 10 not taken); index https://www.chfs.ky.gov/agencies/dcbs/dfs/Pages/default.aspx"
us-la,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 792 provisions in Louisiana's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov"
us-ma,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 283 provisions in Massachusetts's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_130_cmr_regulation (57 of 57 not taken); index https://www.mass.gov/law-library/130-cmr"
us-md,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-md/manual/mdh/medicaid/section-800/page-8,no,strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'Security Income (SSI) or to use the authority under Section 1902(R)(2) of the Social Security Act to implement less restrictive policies. DHMH has ide'
us-me,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 105 provisions in Maine's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: manual_part_docx (2 of 18 not taken); in_chip_or_ssi_scope (2 of 2 not taken); index https://www.maine.gov/sos/rulemaking/agency-rules/mainecare-eligibility-manual"
us-mi,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-07-17-mi-bridges-manual,us-mi/manual/mdhhs/bridges/bem/163/page-3,no,"strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'items. LEGAL BASE MA Social Security Act, Section 1902(m), 1902(r)(2) Deficit Reduction Act 2005, Social Security Act 1903(x), PL 109- 171'"
us-mn,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 2416 provisions in Minnesota's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: manual_topic_html (1 of 345 not taken); home_page_bulletin_pdf (3 of 3 not taken); index https://hcopub.dhs.state.mn.us/epm/home.htm"
us-mo,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-mo/manual/dss/medicaid/magi/1810-000-00/1810-010-00/block-1,no,"strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'Medicare/Medicaid Services (CMS) approved Missouri’s use of less restrictive income methodologies than those in effect July 16, 1996. These changes ra'"
us-ms,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-chip-state-eligibility-manual,us-ms/manual/dom/chip/epm-chapter-101/101.02,no,strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'cy rules except in categories that have been allowed to use more liberal methodologies through State Plan approval or in instances where Medicaid regu'
us-mt,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 361 provisions in Montana's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: other_site_pdf (12 of 12 not taken); index https://dphhs.mt.gov/hcsd/Manuals/CMAPolicyManual"
us-nc,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 2360 provisions in North Carolina's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: abd_administrative_letters (117 of 117 not taken); abd_change_notices (126 of 126 not taken); fcm_administrative_letters (118 of 118 not taken); fcm_change_notices (81 of 81 not taken); dhb_forms (400; index https://policies.ncdhhs.gov/divisional-a-m/health-benefits-nc-medicaid/"
us-nd,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 324 provisions in North Dakota's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: site_page_html (6 of 6 not taken); index https://www.nd.gov/dhs/policymanuals/51005/Default.htm"
us-ne,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,OUTREACH,,,no,publisher block recorded in the medicaid queue row (blocked_primary_source); searched 35 provisions in Nebraska's program and pointer scopes: Batch 5 (2026-09-11): blocked. Nebraska Title 477 NAC (Medicaid Eligibility) is served through the Secretary of State rules site API (rules.nebraska.gov/api/chapter/GetByTitleId/232 for the chapter li
us-nh,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 737 provisions in New Hampshire's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov"
us-nj,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-nj/manual/dhs/medicaid/njac-10-71/page-224,no,strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'constitute exercise by the state of its authority to adopt less restrictive income standards than federal standards. Estate of G.E. v. Division of Me'
us-nm,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-nm/manual/hca/medicaid/8-249-500/block-1,no,strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'Category 059 is determined on a month-to-month basis. (2) Less restrictive income and resource methodology: Pursuant to Section 1931 of the Social S'
us-nv,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 468 provisions in Nevada's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: manual_transmittal_letter_pdf (72 of 72 not taken); index https://www.dss.nv.gov/programs/medical/medical-assistance-manual/"
us-ny,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 971 provisions in New York's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: full_manual_pdf (1 of 1 not taken); update_archive_pdf_or_html (13 of 13 not taken); index https://www.health.ny.gov/health_care/medicaid/reference/mrg/"
us-oh,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,PRESENT,2026-09-10-medicaid-state-eligibility-manual,us-oh/manual/odm/medicaid/5160-1-3-03-2/block-1,no,"strong pattern /less restrictive (methodolog|income|resource)|more/ matched: 'pport (PASS). (F) As a state-selected option under section 1902(r)(2) of the Social Security Act (as in effect October 1, 2025), exclude all income r'"
us-ok,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 377 provisions in Oklahoma's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: subchapter_landing_page (17 of 17 not taken); part_landing_page (29 of 29 not taken); index https://oklahoma.gov/ohca/policies-and-rules/xpolicy/medical-assistance-for-adults-and-children-eligibility.html"
us-or,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 40 provisions in Oregon's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: oar_410_200_rule_html (2 of 43 not taken); index https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=1742"
us-pa,M-ST-1396a-a17,state,state eligibility manual or codified eligibility regulation,EXTRACTABLE,,,no,"not found in held text (searched 922 provisions in Pennsylvania's program and pointer scopes); carried by Medicaid state plan attachment 2.6-A and supplements (financial eligibility, income and resource standards) on medicaid.gov; untaken publisher families: forms_opsmemo_policy_clarification_catalog_html (4 of 4 not taken); index http://services.dpw.state.pa.us/oimpolicymanuals/ma/index.htm"
