jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note,element_label,rulespec_encoded
us,F011,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/22,yes (irs/credits/elderly_or_disabled),"section body (4976 chars, heading 'Credit for the elderly and the permanently and tot', expression_date 2026-07-13) carries the fact: 'ided in subparagraph (B), the initial amount shall be— (i) $5,000 in the case of a single individual, or a joint return where'; inherited by all states","22: credit for the elderly and disabled ($5,000/$7,500 base amounts, 15% rate)",yes
us,F012,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 23 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,"23: adoption expense credit (dollar limit, phase-out, OBBBA refundable portion)",no
us,F013,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/24,yes (irs/credits/ctc),"section body (16265 chars, heading 'Child tax credit', expression_date 2026-07-13) carries the fact: 'it amount Subsection (a) shall be applied by substituting “$2,200” for “$1,000”. (3) Limitation In lieu of the amount determi'; inherited by all states","24: child tax credit amount ($2,200 OBBBA), other-dependent credit $500, SSN requirement",yes
us,F014,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/24,yes (irs/credits/ctc/refundable),"section body (16265 chars, heading 'Child tax credit', expression_date 2026-07-13) carries the fact: 'Subsection (d)(1)(B)(i) shall be applied by substituting “$2,500” for “$3,000”. (7) Social security number required (A) In g'; inherited by all states","24(d): additional child tax credit refundable cap, 15% earned income formula, $2,500 threshold",yes
us,F015,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/24,yes (irs/credits/ctc/phase_out),"section body (16265 chars, heading 'Child tax credit', expression_date 2026-07-13) carries the fact: 'ned under subsection (b)(2), the threshold amount shall be $400,000 in the case of a joint return ($200,000 in any other case).'; inherited by all states","24(b): CTC phase-out thresholds ($200,000/$400,000) and $50 per $1,000 rate",yes
us,F016,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-3,yes (irs/credits/ctc/refundable),"refundable cap $1,700: 'amount. For 2025, the maximum CTC has increased to $2,200 per qualifying child, of which $1,700 can be claimed for the ACTC. In addition, be' at us/form/irs/ty2025/i1040gi/block-3 (2026-09-10-tax-irs-forms-ty2025)","TY2025 refundable CTC cap ($1,700) as printed in Schedule 8812 instructions",no
us,F017,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-12,yes (irs/credits/ctc/refundable),"refundable cap $1,700: 'e Is: The Tax Is: Not over $3,300 10% of the taxable income Over $3,300 but not over $11,700 $330 plus 24% of the excess over $3,300 Over $1' at us/guidance/irs/rev-proc-2025-32/page-12 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)",TY2026 refundable CTC cap (Rev. Proc. 2025-32 sec. 3.05),yes (rev-proc-2025-32 policy)
us,F018,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/25A,yes (irs/credits/education),"section body (12866 chars, heading 'American Opportunity and Lifetime Learning credits', expression_date 2026-07-13) carries the fact: 'ied adjusted gross income for such taxable year, over (ii) $80,000 ($160,000 in the case of a joint return), bears to (B) $10,'; inherited by all states","25A: American Opportunity credit (100%/25%, $2,500, 40% refundable, MAGI $80k-$90k) and Lifetime Learning credit (20%, $10,000)",yes
us,F019,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/25B,yes (irs/credits/retirement_saving),"section body (5608 chars, heading 'Elective deferrals and IRA contributions by certai', expression_date 2026-07-13) carries the fact: 'adjusted gross income of the taxpayer is not over $30,000, 50 percent, (B) if the adjusted gross income of the taxpayer is over $'; inherited by all states",25B: saver's credit rates (50/20/10) and AGI thresholds,yes
us,F020,federal,IRS notices,PRESENT,2026-07-23-irs-notice-2025-67,us/guidance/irs/notice-2025-67/page-3,yes (irs/credits/retirement_saving),"Notice 2025-67 saver's credit item: ', the amounts for 2026 are as follows: The adjusted gross income limitation under section 25B(b)(1)(A) for determining the retirement saving' at us/guidance/irs/notice-2025-67/page-3 (2026-07-23-irs-notice-2025-67)",2026 saver's credit AGI thresholds (Notice 2025-67),yes (notice-2025-67 policy)
us,F021,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/25C,yes (irs/credits/energy_efficient_home_improvement),"section body (10715 chars, heading 'Energy efficient home improvement credit', expression_date 2026-07-13) carries the fact: 'pect to any taxpayer for any taxable year shall not exceed $1,200. (2) Energy property The credit allowed under this section'; inherited by all states","25C: energy efficient home improvement credit (30%, $1,200/$2,000 caps, termination)",yes
us,F022,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/25D,yes (irs/credits/residential_clean_energy),"section body (9192 chars, heading 'Residential clean energy credit', expression_date 2026-07-13) carries the fact: 'vice after December 31, 2016 , and before January 1, 2020 , 30 percent, (2) in the case of property placed in service after Decemb'; inherited by all states","25D: residential clean energy credit (30%, phase-down, termination)",yes
us,F023,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/25E,yes (irs/credits/clean_vehicle),"section body (3670 chars, heading 'Previously-owned clean vehicles', expression_date 2026-07-13) carries the fact: 'for the taxable year an amount equal to the lesser of— (1) $4,000, or (2) the amount equal to 30 percent of the sale price wi'; inherited by all states","25E/30D: clean vehicle credits ($4,000/$7,500, MAGI limits, termination)",yes
us,F024,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 25 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,25: mortgage credit certificate credit,no
us,F025,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/26,no,"section body present (3454 chars, heading 'Limitation based on tax liability; definition of t', expression_date 2026-07-13); inherited by all states",26: nonrefundable personal credit limitation and ordering,yes
us,F026,federal,federal statute,PRESENT,2026-08-03-rulespec-title-26-current-union,us/statute/26/27,no,"section body present (253 chars, heading 'Taxes of foreign countries and possessions of the ', expression_date 2026-07-12); inherited by all states",27/901/904: foreign tax credit and limitation,no
us,F027,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/32,yes (irs/credits/eitc),"section body (16971 chars, heading 'Earned income', expression_date 2026-07-13) carries the fact: 'alifying children | 45 | 21.06 | | No qualifying children | 7.65 | 7.65 | (2) Amounts (A) In general Subject to subparagraph'; inherited by all states",32(a)-(b): EITC credit and phase-out percentages by number of children,yes
us,F028,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/32,yes (irs/credits/eitc/eligibility),"section body (16971 chars, heading 'Earned income', expression_date 2026-07-13) carries the fact: 'her the individual or the individual’s spouse) has attained age 25 but not attained age 65 before the close of the taxable yea'; inherited by all states","32(c): EITC eligibility (qualifying child, age 25-64 childless, SSN, investment income limit, MFS)",yes
us,F029,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-116,yes (irs/credits/eitc),"max credit 3+ children $8,046: '999 17,800 17,850 98 4,328 7,130 8,021 642 4,328 7,130 8,021 17,850 17,900 94 4,328 7,152 8,046 638 4,328 7,152 8,046 17,900 17,950 90 4,328' at us/form/irs/ty2025/i1040gi/block-116 (2026-09-10-tax-irs-forms-ty2025)","TY2025 EITC earned income amounts, maximum credits, phase-out thresholds and the EIC table as printed",no
us,F030,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-15,yes (irs/credits/eitc),"max credit 3+ children $8,231: 'rned Income Amount $13,020 $18,290 $18,290 $8,680 Maximum Amount of Credit $4,427 $7,316 $8,231 $664 Threshold Phaseout Amount (Married Fili' at us/guidance/irs/rev-proc-2025-32/page-15 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)",TY2026 EITC amounts (Rev. Proc. 2025-32 sec. 3.07),yes (rev-proc-2025-32 policy)
us,F031,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-108,yes (irs/credits/eitc),"TY2025 $11,950: 'tment Income = *If line 7a is a loss, enter -0-. 2. Is your investment income more than $11,950? [ ] Yes. [ ] No. 3. Are you filing Form 479' at us/form/irs/ty2025/i1040gi/block-108 (2026-09-10-tax-irs-forms-ty2025); TY2026 $12,200: 's not allowed under § 32(i) if the aggregate amount of certain investment income exceeds $12,200. .07 Rehabilitation Expenditures Treated as' at us/guidance/irs/rev-proc-2025-32/page-15 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)","EITC investment income limit TY2025 ($11,950) and TY2026 ($12,200)",no
us,F032,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/36B,yes (irs/credits/premium_tax_credit),"section body (23755 chars, heading 'Refundable credit for coverage under a qualified h', expression_date 2026-07-13) carries the fact: 'er, over (ii) an amount equal to 1/12 of the product of the applicable percentage and the taxpayer’s household income for the taxable year. ('; inherited by all states","36B: premium tax credit (applicable percentage schedule, household income bands, repayment caps)",yes
us,F033,federal,revenue procedure,PRESENT,2026-07-13-recovery,us/guidance/irs/rev-proc-2025-25/page-1,yes (irs/credits/premium_tax_credit),Rev. Proc. 2025-25 pages: '2025-25 SECTION 1. PURPOSE This revenue procedure provides indexing adjustments to the applicable percentage table (Applicable Percentage Ta' at us/guidance/irs/rev-proc-2025-25/page-1 (2026-07-13-recovery),2026 section 36B applicable percentage table (Rev. Proc. 2025-25),yes (rev-proc-2025-25 policy)
us,F034,federal,revenue procedure,PRESENT,2026-09-10-tax-irs-guidance,us/guidance/irs/rev-proc-2026-26/page-1,yes (irs/credits/premium_tax_credit),Rev. Proc. 2026-26 pages: '2026-26 SECTION 1. PURPOSE This revenue procedure provides indexing adjustments to the applicable percentage table (Applicable Percentage Ta' at us/guidance/irs/rev-proc-2026-26/page-1 (2026-09-10-tax-irs-guidance),2027 section 36B applicable percentage table (Rev. Proc. 2026-26),no
us,F035,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 31 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,31: credit for tax withheld on wages,no
us,F036,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 35 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,35: health coverage tax credit (expired),no
us,F037,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 53 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,53: credit for prior-year minimum tax,no
us,F038,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/55,yes (irs/income/amt),"section body (9407 chars, heading 'Alternative minimum tax imposed', expression_date 2026-07-13) carries the fact: 'ntative minimum tax for the taxable year is the sum of— (i) 26 percent of so much of the taxable excess as does not exceed $175,00'; inherited by all states","55: AMT rates (26/28), exemption amounts and phase-out (OBBBA), 55(d)",yes
us,F039,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/56,yes (irs/income/amt),"section body present (13512 chars, heading 'Adjustments in computing alternative minimum taxab', expression_date 2026-07-13); inherited by all states","56/57/58/59: AMTI adjustments, preference items, other AMT rules",yes
us,F040,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-152,yes (irs/income/amt/exemption),"$88,100 / $137,000: '8,000 14,269 10,080 14,269 12,530 88,000 88,000 88,050 14,280 10,086 14,280 12,541 88,050 88,100 14,291 10,092 14,291 12,552 88,100 88,150 1' at us/form/irs/ty2025/i1040gi/block-152 (2026-09-10-tax-irs-forms-ty2025)","TY2025 AMT exemption amounts ($88,100/$137,000) as printed",no
us,F041,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-16,yes (irs/income/amt/exemption),"$90,100 / $140,200: 'under § 55(d)(1) are: Filing status Exemption amount Joint Returns or Surviving Spouses $140,200 Unmarried Individuals (other than Surviving' at us/guidance/irs/rev-proc-2025-32/page-16 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)",TY2026 AMT exemption amounts (Rev. Proc. 2025-32 sec. 3.11),yes (rev-proc-2025-32 policy)
us,F042,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/61,yes (irs/gross_income),"section body present (892 chars, heading 'Gross income defined', expression_date 2026-07-13); inherited by all states",61: gross income definition,yes
us,F043,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/62,yes (irs/ald),"section body (14308 chars, heading 'Adjusted gross income defined', expression_date 2026-07-13) carries the fact: '(a) General rule For purposes of this subtitle, the term “adjusted gross income” means, in the case of an individual, gross income minus th'; inherited by all states","62: above-the-line deductions (AGI): educator, HSA, SE tax half, SE health, IRA, student loan, alimony, moving (Armed Forces)",yes
us,F044,federal,federal statute,PRESENT,2026-08-03-rulespec-title-26-current-union,us/statute/26/63,yes (irs/deductions/standard),"section body (8017 chars, heading 'Taxable income defined', expression_date 2026-07-12) carries the fact: 'ction Paragraph (2) shall be applied— (i) by substituting “$23,625” for “$4,400” in subparagraph (B), and (ii) by substituting'; inherited by all states","63(c): basic standard deduction amounts ($15,750/$31,500/$23,625 OBBBA 2025) and indexing",yes
us,F045,federal,federal statute,PRESENT,2026-08-03-rulespec-title-26-current-union,us/statute/26/63,yes (irs/deductions/standard/aged_or_blind),"section body (8017 chars, heading 'Taxable income defined', expression_date 2026-07-12) carries the fact: '00 in any other case. (3) Additional standard deduction for aged and blind For purposes of paragraph (1), the additional sta'; inherited by all states","63(c)(3),(f): additional standard deduction for aged or blind",yes
us,F046,federal,federal statute,PRESENT,2026-08-03-rulespec-title-26-current-union,us/statute/26/63,yes (irs/deductions/standard/dependent),"section body (8017 chars, heading 'Taxable income defined', expression_date 2026-07-12) carries the fact: 'mitation on basic standard deduction in the case of certain dependents In the case of an individual with respect to whom a deduct'; inherited by all states",63(c)(5): standard deduction limitation for dependents,yes
us,F047,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/f1040/document-1,yes (irs/deductions/standard),"$15,750: 'January 2, 1961 Is blind Standard deduction for— • Single or Married filing separately, $15,750 • Married filing jointly or Qualifying survi' at us/form/irs/ty2025/f1040/document-1 (2026-09-10-tax-irs-forms-ty2025)",TY2025 standard deduction amounts as printed (2025 Form 1040 instructions),no
us,F048,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-18,yes (irs/deductions/standard),"$16,100: 'arried Individuals (other than Surviving Spouses and Heads of Households) (§ 1(j)(2)(C)) $16,100 Married Individuals Filing Separate Returns' at us/guidance/irs/rev-proc-2025-32/page-18 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)","TY2026 standard deduction amounts (Rev. Proc. 2025-32 sec. 3.16: $16,100/$32,200/$24,150)",yes (rev-proc-2025-32 policy)
us,F049,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-18,yes (irs/deductions/standard/aged_or_blind),"$1,650 / $2,050: '026, the additional standard deduction amount under § 63(f) for the aged or the blind is $1,650. The additional standard deduction amount is' at us/guidance/irs/rev-proc-2025-32/page-18 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)","TY2026 aged/blind additional amounts ($1,650/$2,050) (Rev. Proc. 2025-32)",yes (rev-proc-2025-32 policy)
us,F050,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/67,yes (irs/deductions/itemized/misc),"section body present (5647 chars, heading '2-percent floor on miscellaneous itemized deductio', expression_date 2026-07-13); inherited by all states","67: 2-percent floor on miscellaneous itemized deductions (suspended, OBBBA permanent)",yes
us,F051,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/68,yes (irs/deductions/itemized/limitation),"section body present (702 chars, heading 'Overall limitation on itemized deductions', expression_date 2026-07-13); inherited by all states",68: overall limitation on itemized deductions (OBBBA 2/37 reduction from 2026),yes
us,F052,federal,federal statute,EXTRACTABLE,,,yes (irs/ald/alimony_expense),"26 U.S.C. 71, 215 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section",71/215: alimony inclusion and deduction (pre-2019 instruments),no
us,F053,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 72 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,72: annuities and 72(t) 10% early distribution penalty,no
us,F054,federal,federal statute,PRESENT,2026-07-03-us-usc-26-85-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/85,yes (irs/unemployment_compensation),"section body present (969 chars, heading '26 U.S.C. § 85 - Unemployment compensation', expression_date 2025-01-06); inherited by all states",85: unemployment compensation includible,yes
us,F055,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/86,yes (irs/social_security/taxability),"section body (6415 chars, heading 'Social security and tier 1 railroad retirement ben', expression_date 2026-07-13) carries the fact: 'means— (A) except as otherwise provided in this paragraph, $25,000, (B) $32,000 in the case of a joint return, and (C) zero in'; inherited by all states","86: taxation of Social Security benefits (50%/85%, $25,000/$32,000 and $34,000/$44,000 thresholds)",yes
us,F056,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 101 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,101: life insurance death benefits excluded,no
us,F057,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/102,no,"section body present (1291 chars, heading 'Gifts and inheritances', expression_date 2026-07-13); inherited by all states",102: gifts and inheritances excluded,yes
us,F058,federal,federal statute,EXTRACTABLE,,,yes (irs/gross_income),26 U.S.C. 103 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,103: interest on state and local bonds excluded,no
us,F059,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/104,no,"section body present (5936 chars, heading 'Compensation for injuries or sickness', expression_date 2026-07-13); sections ['105', '106'] not in any selected scope; inherited by all states","104/105/106: injury compensation, accident and health plan exclusions",yes
us,F060,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 108 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,108: discharge of indebtedness exclusions,no
us,F061,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/112,no,"section body present (4230 chars, heading 'Certain combat zone compensation of members of the', expression_date 2026-07-13); inherited by all states",112: combat zone compensation exclusion,yes
us,F062,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 117 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,117: qualified scholarships exclusion,no
us,F063,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 121 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,"121: exclusion of gain on sale of principal residence ($250,000/$500,000)",no
us,F064,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 125 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,125: cafeteria plans,no
us,F065,federal,federal statute,EXTRACTABLE,,,yes (irs/gross_income/dependent_care_assistance_programs),26 U.S.C. 129 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,"129: dependent care assistance exclusion ($5,000; $7,500 from 2026 OBBBA)",no
us,F066,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 132 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,132: fringe benefits exclusion,no
us,F067,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 135 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,135: US savings bond interest used for education,no
us,F068,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 137 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,137: adoption assistance exclusion,no
us,F069,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 139 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,139: disaster relief payments excluded,no
us,F070,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/151,"yes (irs/deductions/senior_deduction, irs/income/exemption)","section body (5165 chars, heading 'Allowance of deductions for personal exemptions', expression_date 2026-07-13) carries the fact: ', there shall be allowed a deduction in an amount equal to $6,000 for each qualified individual with respect to the taxpayer.'; inherited by all states","151: personal exemption amount (zero, OBBBA permanent) and 151(d)(5) senior deduction $6,000 (2025-2028)",yes
